,French,English
0,comme,as
1,je,I
2,son,his
3,que,that
4,il,he
5,Actait,was
6,pour,for
7,sur,on
8,sont,are
9,avec,with
10,ils,they
11,Ãªtre,be
12,A,at
13,un,one
14,avoir,have
15,ce,this
16,A partir de,from
17,par,by
18,chaud,hot
19,mot,word
20,mais,but
21,que,what
22,certains,some
23,est,is
24,il,it
25,vous,you
26,ou,or
27,eu,had
28,la,the
29,de,of
30,Ã ,to
31,et,and
32,un,a
33,dans,in
34,nous,we
35,boÃ®te,can
36,dehors,out
37,autre,other
38,Ãctaient,were
39,qui,which
40,faire,do
41,leur,their
42,temps,time
43,si,if
44,volontÃc,will
45,comment,how
46,dit,said
47,un,an
48,chaque,each
49,dire,tell
50,ne,does
51,ensemble,set
52,trois,three
53,vouloir,want
54,air,air
55,bien,well
56,aussi,also
57,jouer,play
58,petit,small
59,fin,end
60,mettre,put
61,maison,home
62,lire,read
63,main,hand
64,port,port
65,grand,large
66,Ãcpeler,spell
67,ajouter,add
68,mÃªme,even
69,terre,land
70,ici,here
71,il faut,must
72,grand,big
73,haut,high
74,tel,such
75,suivre,follow
76,acte,act
77,pourquoi,why
78,interroger,ask
79,hommes,men
80,changement,change
81,est allÃc,went
82,lumiÃ¨re,light
83,genre,kind
84,de,off
85,besoin,need
86,maison,house
87,image,picture
88,essayer,try
89,nous,us
90,encore,again
91,animal,animal
92,point,point
93,mÃ¨re,mother
94,monde,world
95,prÃ¨s de,near
96,construire,build
97,soi,self
98,terre,earth
99,pÃ¨re,father
100,tout,any
101,nouveau,new
102,travail,work
103,partie,part
104,prendre,take
105,obtenir,get
106,lieu,place
107,fabriquÃc,made
108,vivre,live
109,oÃ¹,where
110,aprÃ¨s,after
111,arriÃ¨re,back
112,peu,little
113,seulement,only
114,tour,round
115,homme,man
116,annÃce,year
117,est venu,came
118,montrer,show
119,tous,every
120,bon,good
121,moi,me
122,donner,give
123,notre,our
124,sous,under
125,nom,name
126,trÃ¨s,very
127,par,through
128,juste,just
129,forme,form
130,phrase,sentence
131,grand,great
132,penser,think
133,dire,say
134,aider,help
135,faible,low
136,ligne,line
137,diffÃcrer,differ
138,tour,turn
139,la cause,cause
140,beaucoup,much
141,signifier,mean
142,avant,before
143,dÃcmÃcnagement,move
144,droit,right
145,garÃ§on,boy
146,vieux,old
147,trop,too
148,mÃªme,same
149,elle,she
150,tous,all
151,lÃ ,there
152,quand,when
153,jusquâ€™Ã ,up
154,utiliser,use
155,votre,your
156,maniÃ¨re,way
157,sur,about
158,beaucoup,many
159,puis,then
160,les,them
161,Ãccrire,write
162,voudrais,would
163,comme,like
164,si,so
165,ces,these
166,son,her
167,long,long
168,faire,make
169,chose,thing
170,voir,see
171,lui,him
172,deux,two
173,a,has
174,regarder,look
175,plus,more
176,jour,day
177,pourrait,could
178,aller,go
179,venir,come
180,fait,did
181,nombre,number
182,son,sound
183,aucun,no
184,plus,most
185,personnes,people
186,ma,my
187,sur,over
188,savoir,know
189,eau,water
190,que,than
191,appel,call
192,premiÃ¨re,first
193,qui,who
194,peut,may
195,vers le bas,down
196,cÃ´tÃc,side
197,ÃctÃc,been
198,maintenant,now
199,trouver,find
200,tÃªte,head
201,supporter,stand
202,propre,own
203,page,page
204,devrait,should
205,pays,country
206,trouvÃc,found
207,rÃcponse,answer
208,Ãccole,school
209,croÃ®tre,grow
210,Ãctude,study
211,encore,still
212,apprendre,learn
213,usine,plant
214,couvercle,cover
215,nourriture,food
216,soleil,sun
217,quatre,four
218,entre,between
219,Ãctat,state
220,garder,keep
221,Å“il,eye
222,jamais,never
223,dernier,last
224,laisser,let
225,pensÃce,thought
226,ville,city
227,arbre,tree
228,traverser,cross
229,ferme,farm
230,dur,hard
231,dÃcbut,start
232,puissance,might
233,histoire,story
234,scie,saw
235,loin,far
236,mer,sea
237,tirer,draw
238,gauche,left
239,tard,late
240,courir,run
241,needs a context,donâ€™t
242,tandis que,while
243,presse,press
244,proche,close
245,nuit,night
246,rÃcel,real
247,vie,life
248,peu,few
249,nord,north
250,livre,book
251,porter,carry
252,a pris,took
253,science,science
254,manger,eat
255,chambre,room
256,ami,friend
257,a commencÃc,began
258,idÃce,idea
259,poisson,fish
260,montagne,mountain
261,ArrÃªtez,stop
262,une fois,once
263,base,base
264,entendre,hear
265,cheval,horse
266,coupe,cut
267,sÃ»r,sure
268,regarder,watch
269,couleur,color
270,face,face
271,bois,wood
272,principal,main
273,ouvert,open
274,paraÃ®tre,seem
275,ensemble,together
276,suivant,next
277,blanc,white
278,enfants,children
279,commencer,begin
280,eu,got
281,marcher,walk
282,exemple,example
283,facilitÃc,ease
284,papier,paper
285,groupe,group
286,toujours,always
287,musique,music
288,ceux,those
289,tous les deux,both
290,marque,mark
291,souvent,often
292,lettre,letter
293,jusquâ€™Ã  ce que,until
294,mile,mile
295,riviÃ¨re,river
296,voiture,car
297,pieds,feet
298,soins,care
299,deuxiÃ¨me,second
300,assez,enough
301,plaine,plain
302,fille,girl
303,habituel,usual
304,jeune,young
305,prÃªt,ready
306,au-dessus,above
307,jamais,ever
308,rouge,red
309,liste,list
310,bien que,though
311,sentir,feel
312,parler,talk
313,oiseau,bird
314,bientÃ´t,soon
315,corps,body
316,chien,dog
317,famille,family
318,direct,direct
319,pose,pose
320,laisser,leave
321,chanson,song
322,mesurer,measure
323,porte,door
324,produit,product
325,noir,black
326,court,short
327,chiffre,numeral
328,classe,class
329,vent,wind
330,question,question
331,arriver,happen
332,complÃ¨te,complete
333,navire,ship
334,zone,area
335,moitiÃc,half
336,rock,rock
337,ordre,order
338,feu,fire
339,sud,south
340,problÃ¨me,problem
341,piÃ¨ce,piece
342,dit,told
343,savait,knew
344,passer,pass
345,depuis,since
346,haut,top
347,ensemble,whole
348,roi,king
349,rue,street
350,pouce,inch
351,multiplier,multiply
352,rien,nothing
353,cours,course
354,rester,stay
355,roue,wheel
356,plein,full
357,force,force
358,bleu,blue
359,objet,object
360,dÃccider,decide
361,surface,surface
362,profond,deep
363,lune,moon
364,Ã®le,island
365,pied,foot
366,systÃ¨me,system
367,occupÃc,busy
368,test,test
369,record,record
370,bateau,boat
371,commun,common
372,or,gold
373,possible,possible
374,plan,plane
375,place,stead
376,sec,dry
377,se demander,wonder
378,rire,laugh
379,mille,thousand
380,il ya,ago
381,ran,ran
382,vÃcrifier,check
383,jeu,game
384,forme,shape
385,assimiler,equate
386,chaud,hot
387,manquer,miss
388,apportÃc,brought
389,chaleur,heat
390,neige,snow
391,pneu,tire
392,apporter,bring
393,oui,yes
394,lointain,distant
395,remplir,fill
396,est,east
397,peindre,paint
398,entre,among
399,unitÃc,unit
400,puissance,power
401,ville,town
402,fin,fine
403,certain,certain
404,voler,fly
405,tomber,fall
406,conduire,lead
407,cri,cry
408,sombre,dark
409,machine,machine
410,Note,note
411,patienter,wait
412,plan,plan
413,figure,figure
414,Ãctoile,star
415,boÃ®te,box
416,nom,noun
417,domaine,field
418,reste,rest
419,correct,correct
420,capable,able
421,livre,pound
422,TerminÃc,done
423,beautÃc,beauty
424,entraÃ®nement,drive
425,rÃcsistÃc,stood
426,contenir,contain
427,avant,front
428,enseigner,teach
429,semaine,week
430,finale,final
431,donnÃc,gave
432,vert,green
433,oh,oh
434,rapide,quick
435,dÃcvelopper,develop
436,ocÃcan,ocean
437,chaud,warm
438,gratuit,free
439,minute,minute
440,fort,strong
441,spÃccial,special
442,esprit,mind
443,derriÃ¨re,behind
444,clair,clear
445,queue,tail
446,produire,produce
447,fait,fact
448,espace,space
449,entendu,heard
450,meilleur,best
451,heure,hour
452,mieux,better
453,vrai,TRUE
454,pendant,during
455,cent,hundred
456,cinq,five
457,rappeler,remember
458,Ãctape,step
459,tÃ´t,early
460,tenir,hold
461,ouest,west
462,sol,ground
463,intÃcrÃªt,interest
464,atteindre,reach
465,rapide,fast
466,verbe,verb
467,chanter,sing
468,Ãccouter,listen
469,six,six
470,table,table
471,Voyage,travel
472,moins,less
473,matin,morning
474,dix,ten
475,simple,simple
476,plusieurs,several
477,voyelle,vowel
478,vers,toward
479,guerre,war
480,poser,lay
481,contre,against
482,modÃ¨le,pattern
483,lent,slow
484,centre,center
485,amour,love
486,personne,person
487,argent,money
488,servir,serve
489,apparaÃ®tre,appear
490,route,road
491,carte,map
492,pluie,rain
493,rÃ¨gle,rule
494,gouverner,govern
495,tirer,pull
496,froid,cold
497,avis,notice
498,voix,voice
499,Ãcnergie,energy
500,chasse,hunt
501,probable,probable
502,lit,bed
503,frÃ¨re,brother
504,Å“uf,egg
505,tour,ride
506,cellule,cell
507,croire,believe
508,peut-Ãªtre,perhaps
509,choisir,pick
510,soudain,sudden
511,compter,count
512,carrÃc,square
513,raison,reason
514,longueur,length
515,reprÃcsenter,represent
516,art,art
517,sujet,subject
518,rÃcgion,region
519,taille,size
520,varier,vary
521,rÃcgler,settle
522,parler,speak
523,poids,weight
524,gÃcnÃcral,general
525,glace,ice
526,question,matter
527,cercle,circle
528,paire,pair
529,inclure,include
530,fracture,divide
531,syllabe,syllable
532,feutre,felt
533,grandiose,grand
534,balle,ball
535,encore,yet
536,vague,wave
537,tomber,drop
538,cÅ“ur,heart
539,h,am
540,prÃcsent,present
541,lourd,heavy
542,danse,dance
543,moteur,engine
544,position,position
545,bras,arm
546,large,wide
547,voile,sail
548,matÃcriel,material
549,fraction,fraction
550,forÃªt,forest
551,sâ€™asseoir,sit
552,course,race
553,fenÃªtre,window
554,magasin,store
555,ÃctÃc,summer
556,train,train
557,sommeil,sleep
558,prouver,prove
559,seul,lone
560,jambe,leg
561,exercice,exercise
562,mur,wall
563,capture,catch
564,monture,mount
565,souhaiter,wish
566,ciel,sky
567,conseil,board
568,joie,joy
569,hiver,winter
570,sat,sat
571,Ãccrit,written
572,sauvage,wild
573,instrument,instrument
574,conservÃc,kept
575,verre,glass
576,herbe,grass
577,vache,cow
578,emploi,job
579,bord,edge
580,signe,sign
581,visite,visit
582,passÃc,past
583,doux,soft
584,amusement,fun
585,clair,bright
586,gaz,gas
587,temps,weather
588,mois,month
589,million,million
590,porter,bear
591,finition,finish
592,heureux,happy
593,espoir,hope
594,fleur,flower
595,vÃªtir,clothe
596,Ãctrange,strange
597,disparu,gone
598,commerce,trade
599,mÃclodie,melody
600,voyage,trip
601,bureau,office
602,recevoir,receive
603,rangÃce,row
604,bouche,mouth
605,exact,exact
606,symbole,symbol
607,mourir,die
608,moins,least
609,difficultÃc,trouble
610,cri,shout
611,sauf,except
612,Ãccrit,wrote
613,semence,seed
614,ton,tone
615,joindre,join
616,suggÃcrer,suggest
617,propre,clean
618,pause,break
619,dame,lady
620,cour,yard
621,augmenter,rise
622,mauvais,bad
623,coup,blow
624,huile,oil
625,sang,blood
626,toucher,touch
627,a augmentÃc,grew
628,cent,cent
629,mÃclanger,mix
630,Ãcquipe,team
631,fil,wire
632,coÃ»t,cost
633,perdu,lost
634,brun,brown
635,porter,wear
636,jardin,garden
637,Ãcgal,equal
638,expÃcdiÃc,sent
639,choisir,choose
640,est tombÃc,fell
641,sâ€™adapter,fit
642,dÃcbit,flow
643,juste,fair
644,banque,bank
645,recueillir,collect
646,sauver,save
647,contrÃ´le,control
648,dÃccimal,decimal
649,oreille,ear
650,autre,else
651,tout Ã  fait,quite
652,cassÃc,broke
653,cas,case
654,milieu,middle
655,tuer,kill
656,fils,son
657,lac,lake
658,moment,moment
659,Ãcchelle,scale
660,fort,loud
661,printemps,spring
662,observer,observe
663,enfant,child
664,droit,straight
665,consonne,consonant
666,nation,nation
667,dictionnaire,dictionary
668,lait,milk
669,vitesse,speed
670,mÃcthode,method
671,organe,organ
672,payer,pay
673,Ã¢ge,age
674,section,section
675,robe,dress
676,nuage,cloud
677,surprise,surprise
678,calme,quiet
679,pierre,stone
680,minuscule,tiny
681,montÃce,climb
682,frais,cool
683,conception,design
684,pauvres,poor
685,lot,lot
686,expÃcrience,experiment
687,bas,bottom
688,clÃc,key
689,fer,iron
690,unique,single
691,bÃ¢ton,stick
692,plat,flat
693,vingt,twenty
694,peau,skin
695,sourire,smile
696,pli,crease
697,trou,hole
698,sauter,jump
699,bÃcbÃc,baby
700,huit,eight
701,village,village
702,se rencontrent,meet
703,racine,root
704,acheter,buy
705,augmenter,raise
706,rÃcsoudre,solve
707,mÃctal,metal
708,si,whether
709,pousser,push
710,sept,seven
711,paragraphe,paragraph
712,troisiÃ¨me,third
713,doit,shall
714,en attente,held
715,cheveux,hair
716,dÃccrire,describe
717,cuisinier,cook
718,Ãctage,floor
719,chaque,either
720,rÃcsultat,result
721,brÃ»ler,burn
722,colline,hill
723,coffre-fort,safe
724,chat,cat
725,siÃ¨cle,century
726,envisager,consider
727,type,type
728,droit,law
729,peu,bit
730,cÃ´te,coast
731,copie,copy
732,phrase,phrase
733,silencieux,silent
734,haut,tall
735,sable,sand
736,sol,soil
737,rouleau,roll
738,tempÃcrature,temperature
739,doigt,finger
740,industrie,industry
741,valeur,value
742,lutte,fight
743,mensonge,lie
744,battre,beat
745,exciter,excite
746,naturel,natural
747,vue,view
748,sens,sense
749,capital,capital
750,ne sera pas,wonâ€™t
751,chaise,chair
752,danger,danger
753,fruit,fruit
754,riche,rich
755,Ãcpais,thick
756,soldat,soldier
757,processus,process
758,fonctionner,operate
759,pratique,practice
760,sÃcparÃc,separate
761,difficile,difficult
762,mÃcdecin,doctor
763,sâ€™il vous plaÃ®t,please
764,protÃcger,protect
765,midi,noon
766,rÃccolte,crop
767,moderne,modern
768,ÃclÃcment,element
769,frapper,hit
770,Ãctudiant,student
771,coin,corner
772,partie,party
773,alimentation,supply
774,dont,whose
775,localiser,locate
776,anneau,ring
777,caractÃ¨re,character
778,insecte,insect
779,pris,caught
780,pÃcriode,period
781,indiquer,indicate
782,radio,radio
783,rayon,spoke
784,atome,atom
785,humain,human
786,histoire,history
787,effet,effect
788,Ãclectrique,electric
789,attendre,expect
790,os,bone
791,rail,rail
792,imaginer,imagine
793,fournir,provide
794,se mettre dâ€™accord,agree
795,ainsi,thus
796,doux,gentle
797,femme,woman
798,capitaine,captain
799,deviner,guess
800,nÃccessaire,necessary
801,net,sharp
802,aile,wing
803,crÃcer,create
804,voisin,neighbor
805,lavage,wash
806,chauve-souris,bat
807,plutÃ´t,rather
808,foule,crowd
809,blÃc,corn
810,comparer,compare
811,poÃ¨me,poem
812,chaÃ®ne,string
813,cloche,bell
814,dÃcpendre,depend
815,viande,meat
816,rub,rub
817,tube,tube
818,cÃclÃ¨bre,famous
819,dollar,dollar
820,courant,stream
821,peur,fear
822,vue,sight
823,mince,thin
824,triangle,triangle
825,planÃ¨te,planet
826,se dÃcpÃªcher,hurry
827,chef,chief
828,colonie,colony
829,horloge,clock
830,mine,mine
831,lien,tie
832,entrer,enter
833,majeur,major
834,frais,fresh
835,recherche,search
836,envoyer,send
837,jaune,yellow
838,pistolet,gun
839,permettre,allow
840,impression,print
841,mort,dead
842,place,spot
843,dÃcsert,desert
844,costume,suit
845,courant,current
846,ascenseur,lift
847,rose,rose
848,arriver,arrive
849,maÃ®tre,master
850,piste,track
851,mÃ¨re,parent
852,rivage,shore
853,division,division
854,feuille,sheet
855,substance,substance
856,favoriser,favor
857,relier,connect
858,poste,post
859,passer,spend
860,corde,chord
861,graisse,fat
862,heureux,glad
863,original,original
864,part,share
865,station,station
866,papa,dad
867,pain,bread
868,charger,charge
869,propre,proper
870,bar,bar
871,proposition,offer
872,segment,segment
873,esclave,slave
874,canard,duck
875,instant,instant
876,marchÃc,market
877,degrÃc,degree
878,peupler,populate
879,poussin,chick
880,cher,dear
881,ennemi,enemy
882,rÃcpondre,reply
883,boisson,drink
884,se produire,occur
885,support,support
886,discours,speech
887,nature,nature
888,gamme,range
889,vapeur,steam
890,mouvement,motion
891,chemin,path
892,liquide,liquid
893,enregistrer,log
894,signifiait,meant
895,quotient,quotient
896,dents,teeth
897,coquille,shell
898,cou,neck
899,oxygÃ¨ne,oxygen
900,sucre,sugar
901,dÃccÃ¨s,death
902,assez,pretty
903,compÃctence,skill
904,femmes,women
905,saison,season
906,solution,solution
907,aimant,magnet
908,argent,silver
909,merci,thank
910,branche,branch
911,rencontre,match
912,suffixe,suffix
913,particuliÃ¨rement,especially
914,figue,fig
915,peur,afraid
916,Ãcnorme,huge
917,sÅ“ur,sister
918,acier,steel
919,discuter,discuss
920,avant,forward
921,similaire,similar
922,guider,guide
923,expÃcrience,experience
924,score,score
925,pomme,apple
926,achetÃc,bought
927,LED,led
928,pas,pitch
929,manteau,coat
930,masse,mass
931,carte,card
932,bande,band
933,corde,rope
934,glissement,slip
935,gagner,win
936,rÃªver,dream
937,soirÃce,evening
938,condition,condition
939,alimentation,feed
940,outil,tool
941,total,total
942,de base,basic
943,odeur,smell
944,vallÃce,valley
945,ni,nor
946,double,double
947,siÃ¨ge,seat
948,continuer,continue
949,bloc,block
950,graphique,chart
951,chapeau,hat
952,vendre,sell
953,succÃ¨s,success
954,entreprise,company
955,soustraire,subtract
956,ÃcvÃcnement,event
957,particulier,particular
958,accord,deal
959,baignade,swim
960,terme,term
961,opposÃc,opposite
962,femme,wife
963,chaussure,shoe
964,Ãcpaule,shoulder
965,propagation,spread
966,organiser,arrange
967,camp,camp
968,inventer,invent
969,coton,cotton
970,nÃc,born
971,dÃcterminer,determine
972,litre,quart
973,neuf,nine
974,camion,truck
975,bruit,noise
976,niveau,level
977,chance,chance
978,recueillir,gather
979,boutique,shop
980,tronÃ§on,stretch
981,jeter,throw
982,Ãcclat,shine
983,propriÃctÃc,property
984,colonne,column
985,molÃccule,molecule
986,sÃclectionner,select
987,mal,wrong
988,gris,gray
989,rÃcpÃctition,repeat
990,exiger,require
991,large,broad
992,prÃcparer,prepare
993,sel,salt
994,nez,nose
995,pluriel,plural
996,colÃ¨re,anger
997,revendication,claim
998,continentâ€¦,continent
